Node ID,Language,NUMBER_FOLLOWERS,Node Label,IS_VERIFIED,LOCATION,IS_NEWS_AGENCY,TWEET_COUNT
1190795199754252288,en,10888,freyjja5,0,,,4
1348625376982016001,en,4454,thethorny1,0,Texas,,7
25077848,en,11662,margiemurd,0,New England,,1
1477603135,en,2677,AlephsMom,0,,,1
69576519,en,1259,StalinCruz,0,,,6
19186003,en,292793,seungminkim,1,"Washington, D.C.",,1
1437416932458762240,en,24090,officer_Lew,0,United States,,2
109813243,en,269547,gurgavin,0,TORONTO  ,,3
487118986,en,12073137,XHNews,1,"Headquartered in Beijing, PRC",1,5
523248016,en,923759,jsolomonReports,0,"Washington, DC",,5
17919393,en,115484,W7VOA,1,"Washington, DC",,1
1080624465975918592,en,2205,GreenNewDealVA,0,"Virginia, USA",,1
3290218414,en,3733,The_Weed_Shop,0,"New York, NY",,3
16012783,en,1383994,thedailybeast,1,"New York, NY",1,11
1243560408025198593,en,1055403,MeidasTouch,1,,,6
14352556,en,715144,seattletimes,1,"Seattle, WA",1,1
3108351,en,20522206,WSJ,1,"New York, NY",1,6
1176994477,en,272802,TheLeadCNN,1,,1,6
2978837542,en,300909,GovernorShapiro,1,"Pennsylvania, USA",,17
1031946753510203392,en,113874,CourtTV,1,"Atlanta, GA",,1
16666806,en,51123,UPI,1,"Washington, D.C.",1,5
38029205,en,179270,williamlegate,1,,,5
1410590377682378755,en,23075,SenVancePress,0,Ohio,,9
43910797,en,503452,SenSherrodBrown,1,"Cleveland, OH",,13
1628974599428882437,en,22,JessicaConardEP,0,,,8
1129203001,en,1563,Transit_Co,0,"Los Angeles, CA",,2
1143287185,en,43,VeganHeadbanger,0,,,3
41925308,zxx,3388,morgansher,0,,,2
838048573916839936,en,3696,wolfssanguis,0,Deutschland,,1
15975391,en,636,Nihonjeezy,0,"Pittsburgh, PA",,1
301048344,en,2235,Reggiebub,0,,,9
66265121,en,18600,Marble300,0,,,4
1271702994942193664,en,3554,GadgetGirl2020,0,,,1
832306794483609600,en,3938,LotraineH,0,"Bronx, NY",,1
2915698086,en,2797,AcroAman,0,"Arizona, USA",,3
40945491,en,361,kipkenyan,0,United States,,1
555579293,en,4780,brutapologist,0,occupied duwamish territory,,1
18011125,en,175,MikeHoelscher,0,USA,,1
595162282,en,1028,Patrici20765403,0,United States,,5
1599135172187901953,en,127,Maribousue,0,Midwest,,2
1518806234350166017,en,1213,angassistant,0,"Pennsylvania, USA",,1
1048654235708129281,en,1566,pamatluing,0,"Scotland, United Kingdom",,3
243942488,en,1484,tomorlandpark,0,"Orland Park, IL.",,1
1629978635514904579,en,19,danlatour5,0,,,1
51547047,en,506,ghotar,0,,,3
304575140,en,1496,PinkyDonaldson,0,"Chicago, IL",,3
918061980358987776,en,830,LilyJayC,0,Treaty of Greenville,,1
472032455,en,85,JamesTayag,0,"Virginia, USA",,1
1009517269658030082,en,486,politic_talks,0,,,7
226434373,en,388,kendalllllbaaby,0,,,6
1508994640254582784,en,762,DaisyClover20,0,,,2
1548223265709010958,en,27,worldnewsmojo,0,,,3
1162779138740015104,en,6859,KeepItBlueDems,0,Kevin McCarthy Sucks,,13
69113394,en,1005,2martha,0,New York City,,2
